date,population,admission,release
2020-06-15,88444.6068668047,1433.9349371039586,2167.3719061735364
2020-06-16,88280.67422673944,2000.1059327749545,2074.2885728402034
2020-06-17,88358.5026977853,2007.0143290847652,2030.038572840203
2020-06-18,88259.83116883118,1931.3670438860656,2061.892135642135
2020-06-19,88307.11616161616,2108.677128427128,2206.2254689754686
2020-06-20,88216.73448773449,2115.343795093795,981.5891053391053
2020-06-21,88749.420995671,1514.275613275613,834.5891053391053
2020-06-22,89394.1075036075,1479.275613275613,2361.8113275613277
2020-06-23,89050.7876012876,2019.908091908092,2089.5617243867246
2020-06-24,89054.07087357088,2100.669996669997,3353.8867243867244
2020-06-25,88941.85414585416,3240.7811077811075,2221.4016083791366
2020-06-26,88921.192390007,2200.2398525319877,1953.528877371289
2020-06-27,88995.43002505513,2029.7377530209149,1010.5001179727926
2020-06-28,89501.50099343658,1516.571086354248,876.4479294206042
2020-06-29,90065.9280224241,1439.8749584081202,2291.564822331615
2020-06-30,89728.63484025022,1956.7128166283314,2079.005998802203
2020-07-01,89736.00832474302,2086.379483294998,2288.27095606716
2020-07-02,89503.47155282556,2056.657261072776,2241.9667602629643
2020-07-03,89230.34387181717,1968.839079254594,1145.8000935962978
2020-07-04,89749.04952414213,1664.5057459212608,869.8000935962979
2020-07-05,90553.13017646711,1673.8807459212608,877.3000935962979
2020-07-06,91229.13390571513,1553.303822844338,2494.896053192257
2020-07-07,90669.25884708438,1935.0209945615093,2287.0760531922574
2020-07-08,90684.80378845366,2303.600994561509,2527.5203389065427
2020-07-09,91701.88444410863,3544.6009945615087,2410.0203389065427
2020-07-10,91522.46509976358,2230.600994561509,1907.3334702196744
2020-07-11,91593.02555339836,1978.3030147635295,915.1425611287654
2020-07-12,92309.98600703309,1632.1030147635295,841.1425611287654
2020-07-13,92951.94646066787,1482.1530147635294,2966.703167189372
2020-07-14,92567.8311567269,2582.5878632483773,2236.4762441124485
2020-07-15,92592.59277586281,2262.2278632483776,2285.855133001337
2020-07-16,92608.03860552506,2300.3597861929943,2253.578382301057
2020-07-17,92501.51160605566,2147.05138283165,2199.578382301057
2020-07-18,92453.48460658624,2151.55138283165,890.5783823010571
2020-07-19,93213.45760711686,1650.55138283165,903.8978267455016
2020-07-20,93773.33338542521,1463.773605053872,2906.6628037040273
2020-07-21,93398.43497018518,2534.2551718741483,1544.903587114165
2020-07-22,93472.52064585425,1619.3892627832392,2146.7797775903555
2020-07-23,93538.05870247571,2211.0451069390833,2556.7613793219575
2020-07-24,93427.31429156472,2447.5169684109446,1803.2613793219573
2020-07-25,93555.79210287592,1930.6836350776116,995.9173622279401
2020-07-26,94224.28914495636,1665.1644043083807,945.1883412489191
2020-07-27,94632.24073249135,1461.3916770356534,2622.11433192491
2020-07-28,93980.94232002633,1969.9409194598957,2149.113514931446
2020-07-29,94040.3171101757,2207.3967691330986,2203.2887971655514
2020-07-30,93970.56690032507,2135.3567691330986,2164.2498361265907
2020-07-31,93993.17383333157,2183.5567691330984,2167.2248361265906
2020-08-01,94016.95576633807,2192.3817691330983,1003.5998361265904
2020-08-02,94609.23769934458,1595.8817691330985,948.5998361265904
2020-08-03,95233.01963235108,1572.3817691330985,2394.1998361265905
2020-08-04,94949.86823202427,2111.0484357997652,2383.8248361265905
2020-08-05,94775.09183169743,2208.0734357997653,2186.4081694599236
